Team,Number,Unit,Min,Off,Offensive Rating,Def,Defensive Rating,Net ,PlusMinus,W,L,WinPerc
BOS,1, Bradley  Lee  Pierce  Bass  Garnett,244.4,1.05,105,1.05,105,0,6,10,10,50
BOS,2, Rondo  Terry  Pierce  Bass  Garnett,221.7,1.05,105,0.99,99,6,29,10,10,50
BOS,3, Rondo  Bradley  Pierce  Bass  Garnett,123,0.92,92,0.98,98,-6,16,4,7,36.3
BOS,4, Bradley  Lee  Pierce  Green  Bass,101.6,1.28,128,0.96,96,32,56,10,4,71.4
BOS,5, Terry  Lee  Green  Sullinger  Garnett,95.1,1.2,120,0.95,95,25,39,10,5,66.6
BOS,6, Rondo  Lee  Pierce  Bass  Garnett,78.1,1.07,107,1.15,115,-8,12,6,8,42.8
BOS,7, Rondo  Terry  Pierce  Bass  Wilcox,77.9,1.03,103,1.01,101,2,6,7,7,50
BOS,8, Bradley  Pierce  Green  Bass  Wilcox,73.2,1.08,108,1.09,109,-1,3,5,6,45.4
BOS,9, Barbosa  Lee  Green  Sullinger  Garnett,72.2,1.09,109,1.05,105,4,4,5,7,41.6
BOS,10, Bradley  Terry  Pierce  Green  Bass,64.2,1.19,119,1.16,116,3,5,7,8,46.6
BOS,11, Rondo  Terry  Pierce  Green  Garnett,62.7,0.91,91,0.96,96,-5,8,10,7,58.8
BOS,12, Bradley  Terry  Pierce  Green  Garnett,61.4,1.06,106,0.95,95,11,25,8,6,57.1
BOS,13, Rondo  Terry  Pierce  Garnett  Collins,53.9,0.88,88,0.99,99,-11,9,2,2,50
BOS,14, Terry  Lee  Pierce  Bass  Garnett,52.3,1.05,105,0.81,81,24,22,7,4,63.6
BOS,15, Terry  Crawford  Lee  Green  Garnett,45.2,1.06,106,1.02,102,4,5,4,4,50
BOS,16, Terry  Barbosa  Pierce  Green  Garnett,44.8,0.98,98,0.79,79,19,14,3,3,50
BOS,17, Bradley  Lee  Pierce  Bass  Wilcox,44.2,1.14,114,1.07,107,7,2,7,7,50
BOS,18, Rondo  Lee  Pierce  Sullinger  Garnett,41.6,1.01,101,0.76,76,25,22,6,2,75
BOS,19, Bradley  Pierce  Green  Bass  Garnett,37.8,1.17,117,0.92,92,25,15,5,4,55.5
BOS,20, Terry  Lee  Pierce  Green  Garnett,35.5,0.96,96,1.08,108,-12,4,9,7,56.2
