Team,Player
ATL, Horford
ATL, Korver
ATL, Smith
ATL, Harris
ATL, Williams
ATL, Teague
ATL, Johnson
ATL, Pachulia
ATL, Mack
ATL, Morrow
ATL, Jenkins
ATL, Stevenson
ATL, Scott
ATL, Tolliver
ATL, Pargo
ATL, Jones
ATL, Petro
ATL, Tyler
BRK, Lopez
BRK, Johnson
BRK, Williams
BRK, Blatche
BRK, Wallace
BRK, Evans
BRK, Shengelia
BRK, Stackhouse
BRK, Brooks
BRK, Watson
BRK, Humphries
BRK, Teletovic
BRK, Joseph
BRK, Bogans
BRK, Childress
BRK, Taylor
BOS, White
BOS, Varnado
BOS, Pierce
BOS, Garnett
BOS, Green
BOS, Rondo
BOS, Crawford
BOS, Terry
BOS, Barbosa
BOS, Randolph
BOS, Lee
BOS, Sullinger
BOS, Williams
BOS, Bradley
BOS, Wilcox
BOS, Bass
BOS, Collins
BOS, Melo
BOS, Milicic
BOS, Joseph
CHA, Walker
CHA, Henderson
CHA, Sessions
CHA, Kidd-Gilchrist
CHA, Adrien
CHA, Williams
CHA, McRoberts
CHA, Biyombo
CHA, Haywood
CHA, Taylor
CHA, Warrick
CHA, Gordon
CHA, Diop
CHA, Thomas
CHA, Pargo
CHA, Mullens
CHA, Higgins
CHA, Carroll
CHI, Butler
CHI, Noah
CHI, Deng
CHI, Robinson
CHI, Gibson
CHI, Hamilton
CHI, Boozer
CHI, Belinelli
CHI, Hinrich
CHI, Cook
CHI, Thomas
CHI, Mohammed
CHI, Teague
CHI, Amundson
CHI, Radmanovic
CLE, Varejao
CLE, Irving
CLE, Livingston
CLE, Jones
CLE, Miles
CLE, Ellington
CLE, Thompson
CLE, Casspi
CLE, Waiters
CLE, Pargo
CLE, Speights
CLE, Walton
CLE, Quinn
CLE, Sloan
CLE, Samuels
CLE, Gee
CLE, Zeller
CLE, Gibson
CLE, Leuer
DAL, Wright
DAL, Carter
DAL, Nowitzki
DAL, Akognon
DAL, Marion
DAL, Collison
DAL, Beaubois
DAL, Brand
DAL, Mayo
DAL, Do.Jones
DAL, Crowder
DAL, James
DAL, M.James
DAL, Kaman
DAL, Da.Jones
DAL, Fisher
DAL, Murphy
DAL, Douglas-Roberts
DAL, Morrow
DAL, Cunningham
DAL, Curry
DAL, C.Wright
DAL, Dentmon
DEN, Iguodala
DEN, Gallinari
DEN, Chandler
